"continent" "status" "order" "family" "genus" "species" "mass.grams"
"251" "AF" "extant" "Chiroptera" "Pteropodidae" "Myonycteris" "torquata" 42.2
"252" "AF" "extant" "Chiroptera" "Pteropodidae" "Nanonycteris" "veldkampi" 21.4
"253" "AF" "extant" "Chiroptera" "Pteropodidae" "Plerotes" "anchietai" NA
"254" "AF" "extant" "Chiroptera" "Pteropodidae" "Rousettus" "aegyptiacus" 132.2
"255" "AF" "extant" "Chiroptera" "Pteropodidae" "Rousettus" "angolensis" 74.6
"256" "AF" "extant" "Chiroptera" "Pteropodidae" "Rousettus" "lanosus" 103
"257" "AF" "extant" "Chiroptera" "Pteropodidae" "Scotonycteris" "ophiodon" 67.5
"258" "AF" "extant" "Chiroptera" "Pteropodidae" "Scotonycteris" "zenkeri" 20.8
"259" "AF" "extant" "Chiroptera" "Rhinolophidae" "Asellia" "patrizii" NA
"260" "AF" "extant" "Chiroptera" "Rhinolophidae" "Asellia" "tridens" 11.9
"261" "AF" "extant" "Chiroptera" "Rhinolophidae" "Cloeotis" "percivali" 4.1
"262" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "abae" NA
"263" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "camerunensis" NA
"264" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "curtus" NA
"265" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "fuliginosus" NA
"266" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "lamottei" NA
"267" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "marisae" NA
"268" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "megalotis" NA
"269" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "beatus" 6.7
"270" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "caffer" 9.4
"271" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "commersoni" 99.1
"272" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "cyclops" 33.5
"273" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "jonesi" 5.5
"274" "AF" "extant" "Chiroptera" "Rhinolophidae" "Hipposideros" "ruber" 10.1
"275" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "adami" NA
"276" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "deckenii" NA
"277" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "guineensis" NA
"278" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "silvestris" NA
"279" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "alcyone" 18.8
"280" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "blasii" 9.7
"281" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "capensis" 12.8
"282" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "clivosus" 15.7
"283" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "darlingi" 9.5
"284" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "denti" 6.2
"285" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "eloquens" 19.1
"286" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "euryale" 8.2
"287" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "ferrumequinum" 21.1
"288" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "fumigatus" 12.9
"289" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "hildebrandti" 25.8
"290" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "hipposideros" 4.7
"291" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "landeri" 8.9
"292" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "maclaudi" 13.1
"293" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "simulator" 8.1
"294" "AF" "extant" "Chiroptera" "Rhinolophidae" "Rhinolophus" "swinnyi" 7.1
"295" "AF" "extant" "Chiroptera" "Rhinolophidae" "Triaenops" "persicus" 12.6
"296" "AF" "extant" "Chiroptera" "Rhinopomatidae" "Rhinopoma" "hardwickei" 14.2
"297" "AF" "extant" "Chiroptera" "Rhinopomatidae" "Rhinopoma" "microphyllum" 27.9
"298" "AF" "extant" "Chiroptera" "Rhinopomatidae" "Rhinopoma" "muscatellum" 9.1
"299" "AF" "extant" "Chiroptera" "Vespertilionidae" "Chalinolobus" "alboguttatus" NA
"300" "AF" "extant" "Chiroptera" "Vespertilionidae" "Chalinolobus" "egeria" NA
"301" "AF" "extant" "Chiroptera" "Vespertilionidae" "Chalinolobus" "superbus" NA
"302" "AF" "extant" "Chiroptera" "Vespertilionidae" "Chalinolobus" "argentatus" 9.1
"303" "AF" "extant" "Chiroptera" "Vespertilionidae" "Chalinolobus" "beatrix" 6.5
"304" "AF" "extant" "Chiroptera" "Vespertilionidae" "Chalinolobus" "gleni" 10.8
"305" "AF" "extant" "Chiroptera" "Vespertilionidae" "Chalinolobus" "kenyacola" 7
"306" "AF" "extant" "Chiroptera" "Vespertilionidae" "Chalinolobus" "poensis" 7.1
"307" "AF" "extant" "Chiroptera" "Vespertilionidae" "Chalinolobus" "variegatus" 11.1
"308" "AF" "extant" "Chiroptera" "Vespertilionidae" "Eptesicus" "brunneus" NA
"309" "AF" "extant" "Chiroptera" "Vespertilionidae" "Eptesicus" "floweri" NA
"310" "AF" "extant" "Chiroptera" "Vespertilionidae" "Eptesicus" "guineensis" NA
